talent,parrot_id,country,non_home_demand,home_demand,flag
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,NG,1.037,,https://flagicons.lipis.dev/flags/4x3/ng.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,FR,0.605,,https://flagicons.lipis.dev/flags/4x3/fr.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,GH,0.526,,https://flagicons.lipis.dev/flags/4x3/gh.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,ZA,0.521,,https://flagicons.lipis.dev/flags/4x3/za.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,CA,0.385,,https://flagicons.lipis.dev/flags/4x3/ca.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,KE,0.273,,https://flagicons.lipis.dev/flags/4x3/ke.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,AU,0.261,,https://flagicons.lipis.dev/flags/4x3/au.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,IE,0.23,,https://flagicons.lipis.dev/flags/4x3/ie.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,DE,0.201,,https://flagicons.lipis.dev/flags/4x3/de.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,LK,0.182,,https://flagicons.lipis.dev/flags/4x3/lk.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,NL,0.182,,https://flagicons.lipis.dev/flags/4x3/nl.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,BE,0.169,,https://flagicons.lipis.dev/flags/4x3/be.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,SE,0.155,,https://flagicons.lipis.dev/flags/4x3/se.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,BR,0.154,,https://flagicons.lipis.dev/flags/4x3/br.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,AE,0.149,,https://flagicons.lipis.dev/flags/4x3/ae.svg
